case_name,country,province,location,infrastructure_type,supply_chain_role,link_to_eu,main_impacts,conflict_category,affected_groups,main_actors,status_standardized,evidence_quality,relevance_to_core_argument,article_use_recommendation,us_coast_bucket,lng_specificity,raw_link,notes
"Planta de licuefacción de gas de Sempra Energy en Ensenada, Baja California, México",Mexico,Baja California Norte,Ensenada,Port / logistics hub,Export / extraction,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Desertification/Drought; Fires; Floods (river, coastal, mudflow); Food insecurity (crop damage); Genetic contamination; Soil contamination; Oil spills; Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Large-scale disturbance of hydro and geological systems; Air pollution; Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Displacement | Loss of livelihood | Land dispossession | Increase in Corruption/Co-optation of different actors | Violations of human rights",Coastal / marine,Local residents,"Energía Costa Azul, S. de R.L. de C.; Infraestructura Energética Nova, S.A.B. de C.V.; Sempra Energy; Total SA; Chevron Polska Energy Resources Sp. z o.o.; Mitsui & Co., Ltd.; Tokyo Gas; Technip FMC; Ayuntamiento de Ensenada Secretaría de Energía del Gobierno Federal Secretaría de Medio Ambiente y Recursos Naturales (Semarnat) Agencia de Seguridad, Energía y Ambiente (ASEA) |",Under construction,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/planta-de-licuefaccion-de-gas-de-sempra-energy-en-ensenada-baja-california-mexico,No additional coding note.
"Militarisation of LNG Gas Liquefaction plant, Yemen","Yemen, Rep.",Shabwah,Balhaf,Liquefaction / export facility,Export / extraction,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Desertification/Drought; Oil spills; Global warming; Food insecurity (crop damage); Exposure to unknown or uncertain complex risks (radiation, etc…); Malnutrition; Health problems related to alcoholism, prostitution; Infectious diseases; Accidents; Mental problems including stress, depression and suicide; Violence related health impacts (homicides, rape, etc..) ; Deaths; Social problems (alcoholism, prostitution, etc..) | Increase in Corruption/Co-optation of different actors | Displacement | Increase in violence and crime | Loss of livelihood | Militarization and increased police presence | Violations of human rights | Land dispossession",Coastal / marine,Workers,"SK Energy; Hunt Oil; TotalEnergies; Yemen Gas Company (YGC); Korea Gas Corporation (Kogas); Hyundai Corporation;  The General Authority for Social Security & Pensions (GASSP); Nippon Export and Investment Insurance (NEXI); Export-Import Bank of Korea (KEXIM); Japanese Bank for International Cooperation (JBIC) ; The Bank of Tokyo Mitsubishi UFJ; Citigroup Inc.; ING; Royal Bank of Scotland; Sumitomo Mitsui Banking Corporation (SMBC); Calyon; Saudi Arabian Government; Compagnie Française d'Assurance pour le Commerce Extérieur; BpiFrance; Societe Generale; BNP Paribas; Credit Agricole; Yemeni Government Saudi Arabian Government French Government (Possibly American, South Korean Governments as well) |",Operating,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/militerization-of-yemen-ngl-gas-liquefacation-site,No additional coding note.
"Afungi LNG airport and construction camps, Mozambique",Mozambique,Cabo Delgado province,Afungi,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Air pollution; Oil spills; Reduced ecological / hydrological connectivity; Groundwater pollution or depletion; Soil erosion; Large-scale disturbance of hydro and geological systems; Floods (river, coastal, mudflow); Food insecurity (crop damage); Soil contamination; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Loss of landscape/aesthetic degradation; Biodiversity loss (wildlife, agro-diversity); Global warming; Deforestation and loss of vegetation cover; Noise pollution; Malnutrition; Mental problems including stress, depression and suicide; Violence related health impacts (homicides, rape, etc..) ; Health problems related to alcoholism, prostitution; Occupational disease and accidents; Infectious diseases; Deaths; Other Health impacts; Accidents; Increase in violence and crime | Loss of traditional knowledge/practices/cultures | Land dispossession | Social problems (alcoholism, prostitution, etc..) | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Specific impacts on women | Militarization and increased police presence | Displacement | Loss of landscape/sense of place",Health / air pollution,Fishing and coastal communities; Workers; Local residents; Farmers; Women,Total SA; Gabriel Couto; NRV/Norvia; Anadarko Petroleum Corporation; LAM Mozambique Airlines; Empresa Nacional deHidrocarbonetos ENH ; Export-Import Bank of the United States; African Development Bank; Sociedade para o Financiamento do Desenvolvimento; Government of Mozambique Ministry of Health National Institute of Health (INS) Palma District Administration Ministry of Transport and Communications Ministry of Agriculture |,Operating,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/afungi-lng-construction-site,No additional coding note.
"Liquefied natural gas project -LNG 2,  Gydan peninsula, Arctic Russia",Russia,Yamalo-Nenets ,Gydan ,Liquefaction / export facility,Export / extraction,Direct EU supply / export-side context,"Biodiversity loss (wildlife, agro-diversity); Food insecurity (crop damage); Loss of landscape/aesthetic degradation; Global warming; Malnutrition; Occupational disease and accidents; Loss of landscape/sense of place | Displacement | Loss of traditional knowledge/practices/cultures",Indigenous rights / land,Indigenous communities; Fishing and coastal communities; Local residents,Novatek ; Total Nature Based Solutions; Ekropromstroy; President of France President of Russia |,Under construction,medium,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/liquefied-natural-gas-project-lng-2-gydan-peninsula-arctic-russia,No additional coding note.
"Sabetta port, Arctic Russia",Russia,Yamal Penninsula,"Sabetta, Gulf of Ob",Port / logistics hub,Broader gas / LNG context,Direct EU supply / export-side context,"Noise pollution; Soil contamination; Oil spills; Groundwater pollution or depletion; Fires; Reduced ecological / hydrological connectivity; Biodiversity loss (wildlife, agro-diversity); Global warming; Air pollution; Large-scale disturbance of hydro and geological systems; Accidents; Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place | Increase in Corruption/Co-optation of different actors",Water / pollution,Local residents,Gazprom; Novatek ; Rosmorport; Government of Russia |,Operating,strong,core,Keep in core article,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/sabetta-port-arctic-russia,No additional coding note.
"Novatek's two gas fields in Yamalsky nature reserve, Yamal, Russia",Russia,Yamalo-Nenets Autonomous Okrug,Yamal peninsula,Extraction / gas field,Export / extraction,Direct EU supply / export-side context,"Fires; Noise pollution; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Large-scale disturbance of hydro and geological systems; Deforestation and loss of vegetation cover; Loss of landscape/aesthetic degradation; Accidents; Displacement | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place | Increase in Corruption/Co-optation of different actors | Land dispossession",Indigenous rights / land,Indigenous communities; Local residents,government of the Yamalo-Nenets Autonomous Okrug to recommend changing the boundaries of the reserve. |,Planned,strong,core,Keep in core article,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/novateks-two-new-gas-fields-on-protected-tundra-yamal-russia-federation,No additional coding note.
"Yamal Mega natural gas project, Arctic Russia",Russia,Yamalo-Nenets Autonomous Okrug,Bovanenkovo,Extraction / gas field,Export / extraction,Direct EU supply / export-side context,"Oil spills; Air pollution; Biodiversity loss (wildlife, agro-diversity); Fires; Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Soil contamination; Waste overflow; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Malnutrition; Violations of human rights | Loss of landscape/sense of place | Increase in Corruption/Co-optation of different actors | Displacement | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Land dispossession",Indigenous rights / land,Indigenous communities; Local residents,Gazprom; Yamal LNG Russia; Russian Government |,Operating,medium,core,Keep in core article,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/mega-natural-gas-project-yamal-arctic-russia,No additional coding note.
"Mozambique Gas Project, villagers dispossessed for off shore drilling, Cabo Delgado, Mozambique",Mozambique,Cabo Delgado Province,"Milamba, Quitupo, Senga, city of Palma",Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Fires; Global warming; Food insecurity (crop damage); Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Other Health impacts; Specific impacts on women | Displacement | Increase in violence and crime | Loss of traditional knowledge/practices/cultures | Militarization and increased police presence | Violations of human rights | Land dispossession | Loss of landscape/sense of place | Other socio-economic impacts | Ethnic and religious tensions, Increase of Islamist groups, opposing gas drilling and suspected to be at the origin of civilians killings. Justiça Ambiental JA! FOE Moçambique denounced armed attacks in Maganja on January 20th 2019 (two people killed), and a journalist being illegally detained since January 5th 2019. An army battalion was present when the shooting happened but did not intervene to protect civilians.",Coastal / marine,Indigenous communities; Fishing and coastal communities; Workers; Local residents; Farmers; Women,"Anadarko Petroleum Corporation; Oil India Ltd.; PTT Exploration & Production Plc; ONGC Videsh Limited; Bharat PetroResources Ltd. ; Mitsui & Co., Ltd.; Mitsui E&P Mozambique Area1 Ltd. ; Royal Dutch Shell; Total Mocambique; Instituto Nacional de Petroleo, Mozambique Defence Armed Forces, Minstry of the Interior |",Under construction,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/cabo-delgado-communites-impacted-by-gas-exploration-projects,No additional coding note.
"Gas grabs, Algeria",Algeria,Country-wide conflict,Not specified clearly in live EJAtlas metadata.,Port / logistics hub,Export / extraction,Direct EU supply / export-side context,"Global warming; Large-scale disturbance of hydro and geological systems; Reduced ecological / hydrological connectivity; Fires; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Air pollution; Exposure to unknown or uncertain complex risks (radiation, etc…); Displacement | Loss of livelihood | Land dispossession | Loss of landscape/sense of place | Increase in Corruption/Co-optation of different actors | Lack of work security, labour absenteeism, firings, unemployment | Militarization and increased police presence | Violations of human rights | Other socio-economic impacts | Perception of ecologically and economic unequal trade, pludering of resources at national level",Water / pollution,Local residents,Sonatrach; Repsol; RWE power; EDISON International  ; Total Nature Based Solutions; Cepsa; Partes y Piezas SAC; BG Group; Statoil; Petroceltic; British Petroleum; Government of Algeria European Commission |,Operating,unknown,core,Keep in core article,,Broader gas / EJ case,https://ejatlas.org/conflict/gas-grabs-algeria,No additional coding note.
"Gladstone key node for coal, gas and aluminium, Australia",Australia,Queensland (QLD),Gladstone,LNG terminal,Import / export terminal,Broader LNG / environmental justice context,"Soil erosion; Air pollution; Biodiversity loss (wildlife, agro-diversity); Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Large-scale disturbance of hydro and geological systems; Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Accidents; Deaths; Health problems related to alcoholism, prostitution; Other environmental related diseases; Other Health impacts; Land dispossession | Social problems (alcoholism, prostitution, etc..) | Displacement | Loss of traditional knowledge/practices/cultures | Destruction of aboriginal people sacred sites for the construction of the LNG terminals [6]",Water / pollution,Indigenous communities; Fishing and coastal communities; Workers; Local residents; Migrant workers,"China National Offshore Oil Corporation, or CNOOC Group; Santos Ltd; TotalEnergies; Petróleo Brasileiro S.A; Korea Gas Corporation; Tokyo Gas; Sinopec; Global Infrastructure Partners; Royal Dutch Shell; ConocoPhillips Co.; Origin Energy; Gladstone Ports Corporation; RUSAL; Aquila Resources; Glencore  ; Coronado Global Resources Inc; Yancoal; Boyne Smelters Ltd; NRG Energy; SLMA GPS Pty Ltd; Rio Tinto ; Orica Australia; Cement Australia; YKK Group; UACJ Corporation; Southern Cross Aluminium; Ryowa Corporation; Banco Santander; German Development Bank KfW; Korea Development Bank; Commonwealth Bank of Australia; China Development Bank; The Bank of Tokyo Mitsubishi UFJ; Bank of Scotland International; DBS Bank Ltd; Bank of China; Industrial and Commercial Bank of China; ING; Export-Import Bank of the United States;  Japan Bank for International Cooperation; BNP Paribas; Export Finance Australia; China Export Import Bank; Export Development Canada; Westpac; National Australia Bank; Mizuho Bank; Sumitomo Mitsui Banking Corporation (SMBC); HSBC Bank; Societe Generale; Banco Bilbao Vizcaya Argentaria (BBVA); DNB Bank; Australia and New Zealand Banking Group Limited; - Gladstone Regional Council - Queensland State Government - Department of the Coordinator General - Department of Environment and Science, Queensland Government |",Operating,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/gladstone,No additional coding note.
"Vostok mega oil project, Taymyr, Arctic Russia",Russia,Krasnoyarsk Krai,Taymyr,Pipeline,Transit,Broader LNG / environmental justice context,"Fires; Food insecurity (crop damage); Soil contamination; Soil erosion; Waste overflow; Oil spills; Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Large-scale disturbance of hydro and geological systems; Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Accidents; Malnutrition; Mental problems including stress, depression and suicide; Displacement | Increase in violence and crime | Increase in Corruption/Co-optation of different actors | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Land dispossession | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,Rosneft; Neftegazholding,Under construction,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/mega-oil-project-dudinka-taymyr-russian-arctic,No additional coding note.
"Digby Island proposed Nexen Aurora LNG (fracked gas) export facility, BC, Canada",Canada,British Columbia,Dodge Cove,Port / logistics hub,Export / extraction,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Fires; Global warming; Loss of landscape/aesthetic degradation; Soil contamination; Soil erosion; Oil spills; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Large-scale disturbance of hydro and geological systems; Other Environmental impacts; Noise pollution; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Mental problems including stress, depression and suicide; Violence related health impacts (homicides, rape, etc..) ; Health problems related to alcoholism, prostitution; Increase in Corruption/Co-optation of different actors | Displacement | Increase in violence and crime | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Militarization and increased police presence | Social problems (alcoholism, prostitution, etc..) | Specific impacts on women | Violations of human rights | Land dispossession | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,"Nexen; China National Offshore Oil Company; INPEX Corporation; Aurora LNG; JGC Corporation; National - Liberal Party (Justin Trudeau ­ prime minister) Provincial - before 2017 election BC Liberal Party (CHristy CLark premier) - after 2017 election New Democratic Party (John Horgan premier), in coalition with Greens |",Planned,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/digby-island-proposed-nexxen-aurora-lng-fracked-gas-export-facility-bc-canada,No additional coding note.
"Gitwilgyoots and Lelu Island (Lax U'u'la) vs proposed Petronas LNG export facility, Canada",Canada,British Columbia,Lelu Island,Port / logistics hub,Export / extraction,Broader LNG / environmental justice context,"Food insecurity (crop damage); Global warming; Noise pollution; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Large-scale disturbance of hydro and geological systems; Reduced ecological / hydrological connectivity; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Violence related health impacts (homicides, rape, etc..) ; Health problems related to alcoholism, prostitution; Increase in violence and crime | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Social problems (alcoholism, prostitution, etc..) | Specific impacts on women | Violations of human rights | Land dispossession | Loss of landscape/sense of place | Increase in Corruption/Co-optation of different actors",Water / pollution,Indigenous communities; Fishing and coastal communities; Workers; Local residents,PETRONAS; BC Liberals (Christy Clark- premier) Liberal Party (Justin Trudeau - prime minister) |,Cancelled / suspended,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/gitwilgyoots-and-lelu-island-lax-uula-vs-proposed-petronas-lng-export-facility,No additional coding note.
"Woodside's Burrup gas hub threatens ancient aboriginal sacred art, Western Australia",Australia,"Pilbara, Western Australia",Murujuga,Liquefaction / export facility,Broader gas / LNG context,Broader LNG / environmental justice context,"Surface water pollution / Decreasing water (physico-chemical, biological) quality; Oil spills; Biodiversity loss (wildlife, agro-diversity); Global warming; Air pollution; Loss of landscape/aesthetic degradation; Exposure to unknown or uncertain complex risks (radiation, etc…); Other Health impacts; Increase in violence and crime | Loss of livelihood | Land dispossession | Other socio-economic impacts | Loss of traditional knowledge/practices/cultures",Indigenous rights / land,Indigenous communities; Workers; Local residents,"Mitsubishi Corporation; Mitsui & Co., Ltd; Kansai Electric Power Co; Tokyo Gas; Woodside Energy; British Petroleum; Chevron Polska Energy Resources Sp. z o.o.; Royal Dutch Shell; Global Infrastructure Partners; Orica Australia; Yara; Perdaman Industries (Chemicals & Fertilisers); Rio Tinto ; - Western Australia (WA) Environmental Protection Authority (EPA) - Federal Environment Minister |",Planned,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/scarborough-gas-project,No additional coding note.
"Gazoduq pipeline and Energie Saguenay terminal, Quebec, Canada",Canada,Ontario and Quebec,"Between north-Eastern Ontario and Saguenay, Quebec",Pipeline,Transit,Broader LNG / environmental justice context,"Fires; Food insecurity (crop damage); Soil erosion; Oil spills; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Reduced ecological / hydrological connectivity; Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Deforestation and loss of vegetation cover; Large-scale disturbance of hydro and geological systems; Accidents; Mental problems including stress, depression and suicide; Occupational disease and accidents; Deaths; Other Health impacts; Displacement | Other socio-economic impacts | Loss of traditional knowledge/practices/cultures | Militarization and increased police presence | Violations of human rights | Land dispossession | Loss of landscape/sense of place | Loss of livelihood | Loss of ecotourism value, income. Potential impact to farmers",Indigenous rights / land,Indigenous communities; Local residents; Women,Gazoduq; GNL Québec ;  Breyer Capital; Freestone International; Quebec Government Ministry of Environment Ministry of Energy and Natural Resources Premier of Quebec Federal Government Transport maritime Federal Minister of Environment Minister of Energy Natural Resource Canada National Energy Board BAP (Bureau d'audiences publiques sur l'environnement) Wendat de Quebec First Nation Atikamekw First Nation Cree First Nations Anishnaabe First Nations Malécites First Nation Innu First Nations |,Planned,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/gazoduq-natural-gas-pipeline-quebec-canada,No additional coding note.
"Dawei Special Economic Zone (SEZ) and Deep Sea port, Tanintharyi, Myanmar",Myanmar,Tanintharyi,Dawei,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Noise pollution; Soil contamination; Waste overflow; Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Reduced ecological / hydrological connectivity; Large-scale disturbance of hydro and geological systems; Food insecurity (crop damage); Loss of landscape/aesthetic degradation; Floods (river, coastal, mudflow); Soil erosion; Mental problems including stress, depression and suicide; Loss of landscape/sense of place | Specific impacts on women | Violations of human rights | Displacement | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Land dispossession | Militarization and increased police presence | Other socio-economic impacts | Increase in Corruption/Co-optation of different actors | massive rise in land prices, related speculation and squeezing out of farmers and villagers from the area [e].",Water / pollution,Indigenous communities; Fishing and coastal communities; Workers; Local residents; Farmers; Women; Migrant workers,"Italian-Thai Development Public Company Limited; Dawei Development Company Ltd.; Max Myanmar Holding Co., Ltd.; Special Purpose Vehicle (SPV) company; Dawei SEZ Development Company Ltd; Myandawei Industrial Estate Company Ltd. (MIE) ; Rojana Industrial Park Public Company Ltd; LNG Plus International Company Ltd.; Environmental Resource Management; Japan International Cooperation Agency (JICA); Japanese Bank for International Cooperation (JBIC) ; Government of Myanmar Government of Thailand Government of Japan |",Under construction,strong,contextual,Broader context only,,Broader gas / EJ case,https://ejatlas.org/conflict/dawei-sez-tanintharyi-region-myanmar,No additional coding note.
"Gitxsan First Nation Chiefs Prohibit Pipelines in Territory, Canada",Canada,British Columbia ,"Gitxsan territory, some near Hazelton",Pipeline,Transit,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Loss of landscape/aesthetic degradation; Noise pollution; Soil erosion; Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Large-scale disturbance of hydro and geological systems; Other Environmental impacts; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Mental problems including stress, depression and suicide; Occupational disease and accidents; Deaths; Other environmental related diseases; Increase in Corruption/Co-optation of different actors | Displacement | Increase in violence and crime | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Militarization and increased police presence | Social problems (alcoholism, prostitution, etc..) | Specific impacts on women | Violations of human rights | Land dispossession | Loss of landscape/sense of place",Health / air pollution,Indigenous communities; Fishing and coastal communities; Local residents,TransCanada Corp.; Pacific NorthWest LNG; Progress Energy Canada Ltd.; PETRONAS; Canadian government; British Columbia provincial government; Gitxsan authorities; Gitxsan Treaty Society; Tsimshian First Nation; B.C. Treaty Commission and Crowns |,Planned,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/rupert-gas-transmission-pipeline-prohibition,No additional coding note.
"Luangwa Community Forests REDD+ Project (LCFP), Zambia",Zambia,Eastern Province,Not specified clearly in live EJAtlas metadata.,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Global warming; Increase in Corruption/Co-optation of different actors | Loss of traditional knowledge/practices/cultures | Violations of human rights | Land dispossession | Loss of livelihood | Loss of landscape/sense of place | Other socio-economic impacts | Violation of Free, Prior and Informed Consent",Health / air pollution,Indigenous communities; Local residents; Farmers,"Eni group; BioCarbon Partners; TotalEnergies; Verra; McKinsey & Company; OMV Gas Marketing & Trading GmbH; Bayer; United States Agency for International Development (USAID)  ; Climate, Community & Biodiversity Alliance; Zambian Forestry Department Zambian Department of National Parks and Wildlife Zambian Ministry of Agriculture Zambian Ministry of Green Economy and Environment |",Operating,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/luangwa-community-forests-project-lcfp-redd,No additional coding note.
"Parque Nacional Cordillera Azul (PNCAZ) REDD+ Project, Peru",Peru,"Departamentos de Loreto, Huánuco, San Martín y Ucayali, Peru",Puerto Franco,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Loss of landscape/aesthetic degradation; Biodiversity loss (wildlife, agro-diversity); Global warming; Reduced ecological / hydrological connectivity; Other Environmental impacts; Soil erosion; Food insecurity (crop damage); Deforestation and loss of vegetation cover; Malnutrition; Mental problems including stress, depression and suicide; Violence related health impacts (homicides, rape, etc..) ; Deaths; Increase in Corruption/Co-optation of different actors | Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place | Displacement | Increase in violence and crime | Loss of livelihood | Militarization and increased police presence | Violations of human rights | Land dispossession | Other socio-economic impacts | Violation of Free, Prior and Informed Consent (FPIC) right",Indigenous rights / land,Indigenous communities; Fishing and coastal communities; Local residents; Farmers; Migrant workers,"Centro Conservación, Investigación y Manejo de Áreas Naturales; The Procter & Gamble Company (P&G); BHP Group Limited; Total Nature Based Solutions; Verra; Royal Dutch Shell; Delta Air Lines; Etihad Airways; Ecosphere+ ; TotalEnergies; Stand For Trees; Lima Expresa; SCS Global Service; Compañía Española de Petróleos, S.A.U.; Enagás, S.A.; British Airways; Kuehne + Nagel International AG; Ben & Jerry's Homemade Holdings Inc.; Gazprom; Qantas Airways Limited; ENEOS Corporation; Tokyo Gas Co., Ltd; CPC Corporation ; China National Offshore Oil Corporation; Repsol; International Union for the Conservation of Nature; Bank of America; The World Bank; Althelia Climate Fund; Mirova S.A.; Radicle BMO; United States Agency for International Development (USAID)  ; Gordon and Betty Moore Foundation; Fundación Packard; Ministerio de Ambiente de Peru (MINAM) Servicio Nacional de Áreas Naturales Protegidas por el Estado de Peru (SERNAP) |",Operating,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/cordillera-azul-national-park-canp-peru,No additional coding note.
"Local Residents Protest Sea-3 Liquid Propane Gas Expansion, Providence, Rhode Island, USA",United States,Rhode Island,Washington Park and Lower South Providence neighborhoods,Port / logistics hub,Broader gas / LNG context,Indirect EU supply chain / export-side context,"Air pollution; Fires; Noise pollution; Soil contamination; Oil spills; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Biodiversity loss (wildlife, agro-diversity); Global warming; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Deaths; Other environmental related diseases; Other Health impacts; Increase in Corruption/Co-optation of different actors | Displacement",Water / pollution,Local residents,"Sea-3 Providence, LLC; ProvPort, Inc.; Blackline Midstream LLC; - State of Rhode Island Office of Energy Resources - Providence City Council - State of Rhode Island Public Utilities Commission and Division of Public Utilities and Carriers - Office of Attorney General Peter Neronha - City of Providence - Energy Facilities Siting Board (EFSB) - Environmental Protection Agency (EPA) |",Planned,strong,core-provisional,Keep in core article with scope note,East Coast,Broader gas case with LNG linkage,https://ejatlas.org/conflict/sea-3-liquid-propane-gas-expansion-providence-rhode-island-usa,No additional coding note.
"Brunsbüttel LNG Terminal, Germany",Germany,Schleswig-Holstein,Brunsbüttel,LNG terminal,Import / regasification,Direct EU supply / importing infrastructure,"Global warming; Air pollution; Accidents; Occupational disease and accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Mental problems including stress, depression and suicide; Other socio-economic impacts | Loss of livelihood | Increase in violence and crime | Unnecessary investments in new LNG infrastructure, which may lead to excessive reliance on fossil fuels that contradicts the German energy plan ""Energiewende""",Water / pollution,Local residents,INEOS Group Limited; Grupo Cobra; Sener; RWE; Vopak LNG Holding B.V.; Gasunie LNG Holding B.V.; Oiltanking GmbH; QatarEnergy; Tokyo Gas; ConocoPhillips Co.; KFW Bank; - European Commission - German Federal Government - Prime Minister of Schleswig-Holstein (Daniel Günther) - Mayor of Hamburg (Peter Tschentscher) |,Operating,medium,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/ende-gelande-against-brunsbuttel-lng-double-cost-for-german-energy-independence-germany,No additional coding note.
"STOP Gdansk LNG terminal, Poland",Poland,Pomeranian Voivodeship,Gdańsk,LNG terminal,Import / regasification,Broader LNG / environmental justice context,"Global warming; Other Environmental impacts; Accidents; Other socio-economic impacts | Increased gas prices, and increased vulnerability of the energy system to geopolitical conflicts, slowdown of energy transition into renewable energy",Health / air pollution,Local residents,GAZ-SYSTEM; PGNIG; - European Union - Polish Government - Climate Ministry |,Planned,weak,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/stop-gdansk-lng-terminal-poland,No additional coding note.
"Santos' Barossa offshore gas “scraping the bottom of the barrel” in Timor Sea, NT, Australia",Australia,Northern Territory,Darwin,Extraction / gas field,Broader gas / LNG context,Broader LNG / environmental justice context,"Noise pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Oil spills; Loss of traditional knowledge/practices/cultures | Other socio-economic impacts | Potential negative impacts on fish stocks [24] Potential failure of former prior and informed consent (FPIC) with indigenous communities [19]",Indigenous rights / land,Indigenous communities; Local residents,"SK E&S; Santos Ltd; JERA Co., Inc.; ConocoPhillips Co.; Korea Trade Insurance Corporation;  Japan Bank for International Cooperation; Export-Import Bank of Korea (KEXIM); - National Offshore Petroleum Safety and Environment Management Authority (NOPSEMA) - Australian Government |",Under construction,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/santos-barossa-offshore-gas-scraping-the-bottom-of-the-barrel-in-timor-sea-nt-australia,No additional coding note.
